customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,Age,employed,no_education_info,loan_amount_category,is_savings_account,loan_amount_to_total_due_ratio,daily_payment,has_branch_info,location_cluster,is_short_term,loanamount_sum,loanamount_mean,loanamount_median,loanamount_max,loanamount_min,loannumber_count,totaldue_sum,totaldue_mean,termdays_max,termdays_min,termdays_mean,average_interest,average_repayment_time,EarlyRepaymentFlag,LatePaymentFlag,good_bad_flag
8a2a81a74ce8c05d014cfb32a0da1049,301994762,12,2017-07-25 08:22:56,2017-07-25 07:22:47,30000.0,34500.0,30,0,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,45,0,0,High,0,0.8695652173913043,1150.0,0,0,1,200000.0,18181.81818181818,20000.0,30000.0,10000.0,11.0,242900.0,22081.81818181818,30.0,30.0,30.0,3900.0,29.9641835016835,0.6363636363636364,0.36363636363636365,1
8a85886e54beabf90154c0a29ae757c0,301965204,2,2017-07-05 17:04:41,2017-07-05 16:04:18,15000.0,17250.0,30,0,Savings,3.885298,7.3207003,GT Bank,Permanent,Graduate,32,0,0,Medium,1,0.8695652173913043,575.0,1,0,1,15000.0,15000.0,15000.0,15000.0,15000.0,2.0,17250.0,17250.0,30.0,30.0,30.0,2250.0,23.485683,0.8,0.285714,1
8a8588f35438fe12015444567666018e,301966580,7,2017-07-06 14:52:57,2017-07-06 13:52:51,20000.0,22250.0,15,0,Other,11.1393496,10.2920413,EcoBank,Permanent,Others,33,0,1,Medium,0,0.898876404494382,1483.3333333333333,0,0,1,60000.0,10000.0,10000.0,10000.0,10000.0,6.0,70500.0,11750.0,30.0,15.0,17.5,1750.0,18.65891975308642,0.8333333333333334,0.5,1
8a85890754145ace015429211b513e16,301999343,3,2017-07-27 19:00:41,2017-07-27 18:00:35,10000.0,11500.0,15,0,Savings,3.9857698,7.4917081,First Bank,Permanent,Others,40,0,1,Low,1,0.8695652173913043,766.6666666666666,0,0,1,20000.0,10000.0,10000.0,10000.0,10000.0,2.0,24500.0,12250.0,30.0,15.0,22.5,2250.0,31.84199074074074,0.0,1.0,1
8a858970548359cc0154883481981866,301962360,9,2017-07-03 23:42:45,2017-07-03 22:42:39,40000.0,44000.0,30,0,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,31,0,0,High,0,0.9090909090909091,1466.6666666666667,0,0,1,150000.0,18750.0,20000.0,30000.0,10000.0,8.0,188400.0,23550.0,60.0,30.0,37.5,4800.0,27.564701967592594,1.0,0.0,1
8a8589f35451855401546b0738c42524,301986516,8,2017-07-19 21:46:24,2017-07-19 20:46:18,30000.0,39000.0,60,0,Savings,3.3119815,6.6332713,Access Bank,Permanent,Others,45,0,1,High,1,0.7692307692307693,650.0,0,0,0,100000.0,14285.714285714286,10000.0,20000.0,10000.0,7.0,124800.0,17828.571428571428,30.0,30.0,30.0,3542.8571428571427,25.202556216931217,0.5714285714285714,0.42857142857142855,1
8a858e095c59b91b015c5e5cea3719bc,301972027,3,2017-07-10 19:25:33,2017-07-10 18:25:28,10000.0,13000.0,30,0,Savings,3.2594445,6.5570112,GT Bank,Permanent,Others,28,0,1,Low,1,0.7692307692307693,433.3333333333333,0,0,1,20000.0,10000.0,10000.0,10000.0,10000.0,2.0,24500.0,12250.0,30.0,15.0,22.5,2250.0,20.00226273148148,1.0,0.0,1
8a858e1158dc4d830158f7bde4f47ea7,301994428,10,2017-07-24 23:42:27,2017-07-24 22:42:21,30000.0,34500.0,30,0,Savings,6.1780556,5.4257996,First Bank,Permanent,Others,30,0,1,High,1,0.8695652173913043,1150.0,0,0,1,180000.0,20000.0,20000.0,30000.0,10000.0,9.0,207000.0,23000.0,30.0,15.0,23.333333333333332,3000.0,22.512398405349796,0.6666666666666666,0.4444444444444444,1
8a858e185b4923b4015b4ae48d28646a,301996687,4,2017-07-26 10:53:05,2017-07-26 09:52:57,10000.0,11500.0,15,0,Savings,3.3965242,6.6279429,GT Bank,Permanent,Others,30,0,1,Low,1,0.8695652173913043,766.6666666666666,0,0,1,30000.0,10000.0,10000.0,10000.0,10000.0,3.0,34500.0,11500.0,15.0,15.0,15.0,1500.0,18.01023533950617,0.6666666666666666,0.3333333333333333,1
8a858e1d5cd58f9e015ceda4bdb63673,301981931,2,2017-07-17 13:48:42,2017-07-17 12:48:35,10000.0,11500.0,15,0,Savings,3.2858723,6.5824439,Access Bank,Unemployed,Others,33,0,1,Low,1,0.8695652173913043,766.6666666666666,0,0,1,10000.0,10000.0,10000.0,10000.0,10000.0,1.0,11500.0,11500.0,15.0,15.0,15.0,1500.0,12.020127314814815,1.0,0.0,1
8a858e245c214660015c2ba8187976f7,301962365,2,2017-07-03 23:49:10,2017-07-03 22:49:03,10000.0,13000.0,30,0,Savings,7.1233193,4.8834997,EcoBank,Permanent,Others,34,0,1,Low,1,0.7692307692307693,433.3333333333333,0,0,1,10000.0,10000.0,10000.0,10000.0,10000.0,1.0,11500.0,11500.0,15.0,15.0,15.0,1500.0,13.74148148148148,1.0,0.0,1
8a858e345bd96da8015be6b9f8bc10c7,301960371,3,2017-07-02 21:59:20,2017-07-02 20:59:14,10000.0,13000.0,30,0,Savings,3.8210848,7.3326277,GT Bank,Permanent,Others,29,0,1,Low,1,0.7692307692307693,433.3333333333333,0,0,1,20000.0,10000.0,10000.0,10000.0,10000.0,2.0,24500.0,12250.0,30.0,15.0,22.5,2250.0,23.256197916666665,0.5,0.5,0
8a858e395cb1d4d9015cb236b4811cbc,301999914,2,2017-07-28 07:15:32,2017-07-28 06:15:25,10000.0,11500.0,15,0,Savings,3.1727935,6.6832653,First Bank,Permanent,Others,52,0,1,Low,1,0.8695652173913043,766.6666666666666,0,0,1,10000.0,10000.0,10000.0,10000.0,10000.0,1.0,13000.0,13000.0,30.0,30.0,30.0,3000.0,27.961979166666666,1.0,0.0,1
8a858e4456ced8470156dc8f1f4038d3,301995555,11,2017-07-25 16:13:30,2017-07-25 15:13:23,40000.0,44000.0,30,0,Other,3.3022556,6.636865,UBA,Permanent,Others,40,0,1,High,0,0.9090909090909091,1466.6666666666667,0,0,1,240000.0,24000.0,25000.0,40000.0,10000.0,10.0,277200.0,27720.0,30.0,15.0,28.5,3720.0,27.126156249999998,0.6,0.6,1
8a858e5357d823010157d932443d28a3,301983540,13,2017-07-18 11:00:05,2017-07-18 09:59:56,40000.0,44000.0,30,0,Other,3.3526543,6.456209,First Bank,Self-Employed,Others,38,1,1,High,0,0.9090909090909091,1466.6666666666667,0,0,1,260000.0,21666.666666666668,20000.0,40000.0,10000.0,12.0,294900.0,24575.0,30.0,15.0,22.5,2908.3333333333335,22.051519097222222,0.75,0.6666666666666666,1
8a858e5b5bd99460015bdf725e143ff4,301967889,3,2017-07-07 12:20:59,2017-07-07 11:20:50,10000.0,13000.0,30,0,Savings,3.70037,7.3943183,Access Bank,Permanent,Others,33,0,1,Low,1,0.7692307692307693,433.3333333333333,0,0,1,20000.0,10000.0,10000.0,10000.0,10000.0,2.0,26000.0,13000.0,30.0,30.0,30.0,3000.0,28.78717013888889,1.0,0.5,1
8a858e645755e62201576b58e3522081,301958834,3,2017-07-01 11:44:57,2017-07-01 10:44:51,10000.0,11500.0,15,0,Other,3.3718018,6.5169394,UBA,Permanent,Others,36,0,1,Low,0,0.8695652173913043,766.6666666666666,0,0,1,20000.0,10000.0,10000.0,10000.0,10000.0,2.0,24500.0,12250.0,30.0,15.0,22.5,2250.0,25.394189814814816,0.5,1.0,1
8a858e6c5bd3fbff015bd408ac3e067a,301993535,2,2017-07-24 14:37:13,2017-07-24 13:37:06,10000.0,11500.0,15,1,Savings,3.3661119,6.5975949,GT Bank,Permanent,Others,35,0,1,Low,1,0.8695652173913043,766.6666666666666,0,0,1,10000.0,10000.0,10000.0,10000.0,10000.0,1.0,11500.0,11500.0,15.0,15.0,15.0,1500.0,13.955185185185185,1.0,0.0,0
8a858e705668e16701567f1523211e5a,301985106,15,2017-07-19 08:17:32,2017-07-19 07:17:24,40000.0,44000.0,30,0,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Others,41,0,1,High,1,0.9090909090909091,1466.6666666666667,0,0,1,370000.0,26428.571428571428,30000.0,40000.0,10000.0,14.0,416050.0,29717.85714285714,30.0,15.0,23.571428571428573,3289.285714285714,21.286577380952384,0.7857142857142857,0.35714285714285715,1
8a858e7d595026f8015951c0c4a03fae,301959458,10,2017-07-01 21:50:24,2017-07-01 20:50:19,30000.0,34500.0,30,0,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Others,31,0,1,High,1,0.8695652173913043,1150.0,0,0,1,180000.0,20000.0,20000.0,30000.0,10000.0,9.0,203500.0,22611.11111111111,30.0,15.0,20.0,2611.1111111111113,16.839393004115227,0.7777777777777778,0.3333333333333333,1
8a858e885c17687c015c19eead6338fd,301964283,3,2017-07-05 07:34:08,2017-07-05 06:34:02,10000.0,13000.0,30,1,Savings,3.345346,6.5617308,GT Bank,Permanent,Others,39,0,1,Low,1,0.7692307692307693,433.3333333333333,0,0,1,20000.0,10000.0,10000.0,10000.0,10000.0,2.0,26000.0,13000.0,30.0,30.0,30.0,3000.0,22.8221412037037,1.0,0.5,1
8a858e8f5d41c974015d4b7f31865627,302003432,2,2017-07-30 13:26:07,2017-07-30 12:25:59,10000.0,11500.0,15,1,Savings,3.5246642,6.6592427,First Bank,Permanent,Others,24,0,1,Low,1,0.8695652173913043,766.6666666666666,0,0,1,10000.0,10000.0,10000.0,10000.0,10000.0,1.0,11500.0,11500.0,15.0,15.0,15.0,1500.0,9.072268518518518,1.0,0.0,0
8a858e9b5a195041015a1a602a51519d,301976439,7,2017-07-13 17:38:01,2017-07-13 16:37:55,25000.0,28750.0,30,0,Savings,7.1694297,9.2174068,GT Bank,Permanent,Others,34,0,1,High,1,0.8695652173913043,958.3333333333334,0,0,1,80000.0,13333.333333333334,10000.0,20000.0,10000.0,6.0,90125.0,15020.833333333334,15.0,15.0,15.0,1687.5,13.29362075617284,0.5,0.5,1
